participant_id	session_id	task	run	desc	regressors	space	meanFD	relMeansRMSMotion	relMaxRMSMotion	meanDVInit	meanDVFinal	nVolCensored	nVolsRemoved	motionDVCorrInit	motionDVCorrFinal	coregDice	coregJaccard	coregCrossCorr	coregCoverage	normDice	normJaccard	normCrossCorr	normCoverage	medianFD	motionExclude	normCrossCorrExclude	fmriExclude
colornest086	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0865511351648351	0.5318712559253128	0.9939564298883532	20.830633546961327	20.830633546961327	0	2	0.6297431859209507	0.6297431859209507	0.8728011518795245	0.7743098330297788	0.8547125641996722	0.8916090131321485	0.8915134794645778	0.8042619039101695	0.8540660894608593	0.9104979469068974	0.0698734	0	0	0
colornest086	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0908022362637362	0.6459700284305319	1.4899760536773736	20.660752458563536	20.660752458563536	0	2	0.5705062440577428	0.5705062440577428	0.8753378990917932	0.7783119022014924	0.8576220561730392	0.8954824032302373	0.8938961072023389	0.808148414468928	0.8572826959287018	0.9127669390442322	0.0624802	0	0	0
colornest110	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0693156659340659	0.3602587419180651	0.696606267095337	21.850219370165743	21.850219370165743	0	2	0.4562381684203503	0.4562381684203503	0.8875053672722119	0.7977614823148292	0.8732558043298898	0.910524097014608	0.9057681996922092	0.8277662917833595	0.8732771241635573	0.9268526408364952	0.0550501	0	0	0
colornest110	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0806805857142857	0.2992842188429503	0.6858378985868964	23.055823546961324	23.055823546961324	0	2	0.5308327892050734	0.5308327892050734	0.8953427257817531	0.8105162991982077	0.8823494721972813	0.929641590507389	0.9134557936527088	0.8406982323558972	0.8836841355978999	0.9425697622045892	0.0607727	0	0	0
colornest180	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0546470891758241	0.2434304664103419	0.8394485565065914	21.352155071823205	21.352155071823205	0	2	0.6640313062534206	0.6640313062534206	0.9311811447615445	0.8712244738176854	0.9220205276487096	0.9459738166872418	0.9427917583019172	0.8917748851329512	0.9232187403876112	0.954274280979596	0.0362477	0	0	0
colornest180	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0426480504395604	0.2433571179842356	0.5708034891326436	22.519935944751374	22.519935944751374	0	2	0.4976485779113365	0.4976485779113365	0.9304854368932038	0.8700072621641249	0.9212353921983828	0.9458104481914886	0.9412421868485668	0.8890061307287294	0.9211259926003242	0.9544510500245452	0.0370806	0	0	0
colornest067	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0632545708791208	0.5484148777810405	1.1200491388711526	20.858497320441987	20.858497320441987	0	2	0.2888078027811482	0.2888078027811482	0.9098224409511692	0.8345635382047126	0.8967093867614976	0.9336586871447916	0.9284982576788744	0.8665391954170117	0.9039719378728354	0.9521525051676214	0.0485699	0	0	0
colornest067	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.1607243412087912	0.5001989246268569	2.3115461415513643	29.844849270718235	29.844849270718235	0	2	0.881191088482906	0.881191088482906	0.9104178287071364	0.8355660111681744	0.8973898766369247	0.933997379233395	0.9276579654634416	0.8650765666053126	0.9028424771926412	0.9519467306756682	0.0679373	0	0	0
colornest164	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0368274893956043	0.5928107638996413	1.1184877366453152	16.559019453038673	16.559019453038673	0	2	0.1018998993793462	0.1018998993793462	0.9157190753843936	0.8445404272965784	0.9048131671342454	0.9248564762728484	0.9316292357683572	0.872009293925571	0.9088671828303906	0.941238175245432	0.0348171	0	0	0
colornest164	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.030075617087912	0.1122096245050545	0.1939262587439101	18.88417850828729	18.88417850828729	0	2	0.1573890597475007	0.1573890597475007	0.9029287811705996	0.8230357023986509	0.890675282982992	0.9213524662061984	0.9184072719094428	0.849124858236425	0.8917988528763593	0.9368962494022272	0.0293525	0	0	0
colornest028	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.2389127461538461	0.9089398259082224	4.066289601732887	27.40068755801105	27.40068755801105	0	2	0.8342507246907106	0.8342507246907106	0.9027366059860196	0.8227164151386225	0.893016181275373	0.9602890335706672	0.9192569609541846	0.8505786553719501	0.8921096058100659	0.9675905175173746	0.139551	0	0	0
colornest028	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.6129487384615385	2.217788356146597	5.757139010445879	44.40803604972376	44.40803604972376	0	2	0.7943660619021812	0.7943660619021812	0.9100865770053286	0.8350081371644672	0.9008672435211544	0.9602514834433808	0.9222143859611448	0.8556566110631887	0.8958513210100828	0.9635861240130624	0.329913	1	0	1
colornest146	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0333750913736263	0.0636005185117372	0.1114171513764034	20.405240519337013	20.405240519337013	0	2	0.4705628912016417	0.4705628912016417	0.9269546513683136	0.8638541255971492	0.91897323960461	0.9622106009155976	0.9422365668519516	0.8907819436031426	0.9226153621868984	0.9705950440089248	0.0286812	0	0	0
colornest146	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0331030295054945	0.1832894302551609	0.3678014435525777	20.61593282320442	20.61593282320442	0	2	0.2567334668077426	0.2567334668077426	0.9265204621393224	0.8631002543241507	0.918505550826984	0.9623289971752836	0.9408440103429232	0.888295982395889	0.9207518923529958	0.9700647368740776	0.0288659	0	0	0
colornest158	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0726588414835164	0.1365574269878297	0.5304245113482258	23.404514469613257	23.404514469613257	0	2	0.828946785358369	0.828946785358369	0.8983623645334012	0.8154790065363914	0.8877285912623676	0.9559739094823512	0.9139212782502572	0.8414871408012405	0.8849999730853088	0.9657615325383652	0.0466246	0	0	0
colornest158	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.067830984065934	0.4022967451826341	1.0290172861419238	20.1613923480663	20.1613923480663	0	2	0.1636475512207643	0.1636475512207643	0.8955097170466437	0.8107900366964678	0.8842994779350231	0.9487947062910048	0.910443387016094	0.8356090690163542	0.8801387981667781	0.9597305886518652	0.0588372	0	0	0
colornest138	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0555603957692307	0.1398051129856443	0.3152700236452079	22.5052005801105	22.5052005801105	0	2	0.6747197296933131	0.6747197296933131	0.9203839928298404	0.8525105099565067	0.910115753936282	0.930418594293158	0.9332835720687086	0.8749125331074611	0.9105170337306586	0.9395181702707304	0.045984	0	0	0
colornest138	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0692540335164835	0.4795813150946669	0.9898027022992816	20.946702950276244	20.946702950276244	0	2	0.4717236349321431	0.4717236349321431	0.9185660218194353	0.8493963019035676	0.908062386600037	0.9267982409979272	0.9300455638999038	0.8692384764437728	0.90621717229357	0.9343874897865254	0.0570323	0	0	0
colornest027	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0815219527472527	0.2643091552114188	0.562973590301721	23.012329723756903	23.012329723756903	0	2	0.5343085416388914	0.5343085416388914	0.9111298013564132	0.8367662210715417	0.899631378670585	0.9430885412595792	0.924050158170652	0.8588227092441096	0.8979897344525379	0.9506152164764072	0.0643466	0	0	0
